<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.23	1.06937	1.08274	1.06355	1.07257	220916	0	0
2020.03.24	1.07226	1.08880	1.07226	1.07825	171445	0	0
2020.03.25	1.07823	1.08939	1.07601	1.08796	168158	0	0
2020.03.26	1.08797	1.10586	1.08700	1.10291	149438	0	0
2020.03.27	1.10290	1.11470	1.09533	1.11431	139186	0	0
2020.03.30	1.11159	1.11439	1.10099	1.10427	109850	0	0
2020.03.31	1.10414	1.10537	1.09266	1.10349	132367	0	0
2020.04.01	1.10299	1.10390	1.09027	1.09616	102809	0	0
2020.04.02	1.09619	1.09678	1.08205	1.08568	104632	0	0
2020.04.03	1.08550	1.08641	1.07727	1.08127	93640	0	0
2020.04.06	1.08088	1.08354	1.07682	1.07920	94909	0	0
2020.04.07	1.07920	1.09259	1.07834	1.08904	89461	0	0
2020.04.08	1.08903	1.09020	1.08298	1.08565	78664	0	0
2020.04.09	1.08559	1.09515	1.08409	1.09285	82410	0	0
2020.04.10	1.09286	1.09522	1.09185	1.09347	45005	0	0
2020.04.13	1.09428	1.09676	1.08925	1.09120	88985	0	0
2020.04.14	1.09120	1.09870	1.08987	1.09798	113063	0	0
2020.04.15	1.09794	1.09907	1.08562	1.09066	100896	0	0
2020.04.16	1.09076	1.09111	1.08166	1.08386	123356	0	0
2020.04.17	1.08386	1.08925	1.08119	1.08739	124445	0	0
2020.04.20	1.08625	1.08965	1.08411	1.08607	92579	0	0
2020.04.21	1.08611	1.08801	1.08164	1.08564	107627	0	0
2020.04.22	1.08563	1.08851	1.08032	1.08229	82977	0	0
2020.04.23	1.08226	1.08466	1.07560	1.07760	123060	0	0
2020.04.24	1.07760	1.08257	1.07269	1.08244	100461	0	0
2020.04.27	1.08208	1.08602	1.08112	1.08280	95439	0	0
2020.04.28	1.08275	1.08883	1.08096	1.08182	77049	0	0
2020.04.29	1.08180	1.08855	1.08179	1.08728	74705	0	0
2020.04.30	1.08709	1.09724	1.08328	1.09507	84471	0	0
2020.05.01	1.09485	1.10180	1.09343	1.09802	55528	0	0
2020.05.04	1.09684	1.09743	1.08956	1.09065	54761	0	0
2020.05.05	1.09054	1.09257	1.08257	1.08390	58150	0	0
2020.05.06	1.08397	1.08454	1.07818	1.07929	54033	0	0
2020.05.07	1.07925	1.08339	1.07664	1.08319	60714	0	0
2020.05.08	1.08315	1.08755	1.08150	1.08386	48534	0	0
2020.05.11	1.08240	1.08503	1.08005	1.08060	49534	0	0
2020.05.12	1.08038	1.08852	1.07843	1.08469	54306	0	0
2020.05.13	1.08464	1.08963	1.08115	1.08173	58528	0	0
2020.05.14	1.08167	1.08238	1.07748	1.08042	53197	0	0
2020.05.15	1.08031	1.08505	1.07888	1.08187	50568	0	0
2020.05.18	1.08014	1.09269	1.07998	1.09139	48887	0	0
2020.05.19	1.09145	1.09759	1.09021	1.09217	51091	0	0
2020.05.20	1.09208	1.09989	1.09165	1.09767	46569	0	0
2020.05.21	1.09761	1.10082	1.09372	1.09476	46263	0	0
2020.05.22	1.09458	1.09536	1.08852	1.09022	42958	0	0
2020.05.25	1.08953	1.09144	1.08706	1.08956	26566	0	0
2020.05.26	1.08922	1.09958	1.08919	1.09818	46804	0	0
2020.05.27	1.09814	1.10306	1.09339	1.10026	71978	0	0
2020.05.28	1.09962	1.10934	1.09917	1.10757	64330	0	0
2020.05.29	1.10756	1.11450	1.10669	1.11076	76623	0	0
2020.06.01	1.11150	1.11536	1.11003	1.11343	61548	0	0
2020.06.02	1.11342	1.11957	1.11151	1.11685	69172	0	0
2020.06.03	1.11678	1.12576	1.11665	1.12333	77798	0	0
2020.06.04	1.12321	1.13621	1.11947	1.13365	81076	0	0
2020.06.05	1.13367	1.13837	1.12782	1.12874	79259	0	0
2020.06.08	1.12932	1.13195	1.12682	1.12932	63468	0	0
2020.06.09	1.12933	1.13635	1.12409	1.13389	71617	0	0
2020.06.10	1.13388	1.14222	1.13215	1.13723	78384	0	0
2020.06.11	1.13723	1.14035	1.12886	1.12981	101175	0	0
2020.06.12	1.12933	1.13402	1.12125	1.12604	94092	0	0
2020.06.15	1.12356	1.13323	1.12263	1.13222	90036	0	0
2020.06.16	1.13220	1.13531	1.12276	1.12633	81131	0	0
2020.06.17	1.12628	1.12939	1.12070	1.12426	76433	0	0
2020.06.18	1.12428	1.12612	1.11854	1.12049	72169	0	0
2020.06.19	1.12047	1.12542	1.11681	1.11765	67711	0	0
2020.06.22	1.11819	1.12697	1.11684	1.12593	56787	0	0
2020.06.23	1.12592	1.13483	1.12330	1.13074	72602	0	0
2020.06.24	1.13073	1.13257	1.12483	1.12503	60143	0	0
2020.06.25	1.12503	1.12595	1.11902	1.12170	54121	0	1
2020.06.26	1.12181	1.12391	1.11951	1.12179	40896	0	1
2020.06.29	1.12146	1.12876	1.12146	1.12410	42408	0	1
2020.06.30	1.12412	1.12616	1.11909	1.12336	48612	0	1
2020.07.01	1.12340	1.12749	1.11847	1.12507	45694	0	1
2020.07.02	1.12507	1.13025	1.12231	1.12388	45520	0	1
2020.07.03	1.12391	1.12524	1.12192	1.12482	39847	0	1
2020.07.06	1.12430	1.13455	1.12406	1.13085	43681	0	1
2020.07.07	1.13084	1.13323	1.12587	1.12727	46610	0	0
2020.07.08	1.12674	1.13515	1.12621	1.13292	46420	0	1
2020.07.09	1.13287	1.13706	1.12801	1.12846	53652	0	1
2020.07.10	1.12845	1.13247	1.12548	1.12965	43778	0	1
2020.07.13	1.13015	1.13748	1.13008	1.13435	45838	0	1
2020.07.14	1.13431	1.14085	1.13250	1.13993	53978	0	1
2020.07.15	1.13990	1.14518	1.13910	1.14114	46644	0	1
2020.07.16	1.14113	1.14419	1.13703	1.13834	47684	0	1
2020.07.17	1.13832	1.14437	1.13745	1.14258	36614	0	1
2020.07.20	1.14042	1.14676	1.14021	1.14472	46665	0	1
2020.07.21	1.14470	1.15396	1.14227	1.15265	50733	0	1
2020.07.22	1.15268	1.16009	1.15066	1.15695	57633	0	0
2020.07.23	1.15693	1.16266	1.15402	1.15959	54824	0	1
2020.07.24	1.15957	1.16576	1.15813	1.16549	53672	0	1
2020.07.27	1.16431	1.17811	1.16412	1.17510	59628	0	0
2020.07.28	1.17512	1.17735	1.16986	1.17150	59214	0	1
2020.07.29	1.17148	1.18059	1.17126	1.17906	57617	0	1
2020.07.30	1.17910	1.18480	1.17307	1.18467	62399	0	1
2020.07.31	1.18465	1.19086	1.17613	1.17713	75364	0	1
2020.08.03	1.17697	1.17966	1.16957	1.17617	57376	0	0
2020.08.04	1.17633	1.18060	1.17212	1.18028	55353	0	1
2020.08.05	1.18026	1.19047	1.17929	1.18629	54459	0	0
2020.08.06	1.18627	1.19160	1.18178	1.18762	64120	0	0
2020.08.07	1.18763	1.18827	1.17550	1.17854	61612	0	1
2020.08.10	1.17864	1.18006	1.17359	1.17371	42261	0	1
2020.08.11	1.17373	1.18074	1.17220	1.17395	59065	0	1
2020.08.12	1.17402	1.18165	1.17109	1.17835	58997	0	0
2020.08.13	1.17835	1.18640	1.17796	1.18131	52645	0	1
2020.08.14	1.18126	1.18503	1.17814	1.18413	42080	0	1
2020.08.17	1.18377	1.18810	1.18285	1.18698	39587	0	0
2020.08.18	1.18695	1.19656	1.18655	1.19306	50881	0	1
2020.08.19	1.19302	1.19526	1.18301	1.18385	55642	0	1
2020.08.20	1.18355	1.18685	1.18020	1.18599	57789	0	0
2020.08.21	1.18599	1.18827	1.17542	1.17964	52733	0	1
2020.08.24	1.17929	1.18496	1.17841	1.17873	42510	0	1
2020.08.25	1.17871	1.18436	1.17840	1.18343	47918	0	1
2020.08.26	1.18340	1.18391	1.17721	1.18298	44133	0	1
2020.08.27	1.18297	1.19013	1.17621	1.18217	66444	0	1
2020.08.28	1.18215	1.19196	1.18110	1.19055	62437	0	1
2020.08.31	1.19036	1.19660	1.18839	1.19361	50159	0	1
2020.09.01	1.19358	1.20108	1.19011	1.19113	58939	0	0
2020.09.02	1.19112	1.19285	1.18220	1.18547	53643	0	1
2020.09.03	1.18521	1.18645	1.17887	1.18512	57467	0	1
2020.09.04	1.18513	1.18652	1.17808	1.18394	58184	0	1
2020.09.07	1.18458	1.18485	1.18111	1.18136	31385	0	1
2020.09.08	1.18136	1.18273	1.17654	1.17739	56953	0	1
2020.09.09	1.17747	1.18337	1.17528	1.18027	50318	0	1
2020.09.10	1.18026	1.19174	1.17994	1.18146	60593	0	1
2020.09.11	1.18145	1.18739	1.18086	1.18459	46151	0	1
2020.09.14	1.18362	1.18880	1.18321	1.18643	37436	0	1
2020.09.15	1.18648	1.19004	1.18393	1.18462	38904	0	1
2020.09.16	1.18465	1.18826	1.17873	1.18155	53041	0	1
2020.09.17	1.18146	1.18523	1.17374	1.18476	58356	0	1
2020.09.18	1.18476	1.18703	1.18258	1.18413	45923	0	1
2020.09.21	1.18455	1.18717	1.17316	1.17707	54501	0	1
2020.09.22	1.17700	1.17735	1.16916	1.17077	54507	0	0
2020.09.23	1.17074	1.17189	1.16511	1.16595	53403	0	0
2020.09.24	1.16590	1.16868	1.16264	1.16708	53594	0	0
2020.09.25	1.16706	1.16849	1.16122	1.16296	46422	0	0
2020.09.28	1.16222	1.16799	1.16151	1.16650	39261	0	0
2020.09.29	1.16650	1.17455	1.16609	1.17426	42496	0	0
2020.09.30	1.17430	1.17547	1.16846	1.17210	57876	0	0
2020.10.01	1.17210	1.17694	1.17171	1.17465	57598	0	0
2020.10.02	1.17489	1.17489	1.16957	1.17165	65348	0	0
2020.10.05	1.17131	1.17974	1.17053	1.17825	41921	0	0
2020.10.06	1.17826	1.18076	1.17316	1.17334	50635	0	0
2020.10.07	1.17335	1.17818	1.17248	1.17628	46612	0	0
2020.10.08	1.17624	1.17816	1.17324	1.17582	39212	0	0
2020.10.09	1.17587	1.18304	1.17551	1.18293	40290	0	0
2020.10.12	1.18173	1.18265	1.17866	1.18120	34400	0	0
2020.10.13	1.18120	1.18155	1.17305	1.17446	40707	0	0
2020.10.14	1.17452	1.17712	1.17195	1.17452	41998	0	0
2020.10.15	1.17452	1.17576	1.16882	1.17073	46911	0	0
2020.10.16	1.17073	1.17460	1.16939	1.17160	41654	0	0
2020.10.19	1.17195	1.17936	1.17030	1.17695	38192	0	0
2020.10.20	1.17695	1.18407	1.17598	1.18211	38813	0	0
2020.10.21	1.18214	1.18806	1.18208	1.18598	47267	0	0
2020.10.22	1.18582	1.18667	1.18114	1.18177	41611	0	0
2020.10.23	1.18177	1.18646	1.17867	1.18598	41119	0	0
2020.10.26	1.18551	1.18554	1.18031	1.18087	41221	0	0
2020.10.27	1.18087	1.18387	1.17818	1.17870	37585	0	0
2020.10.28	1.17870	1.17879	1.17178	1.17451	48573	0	0
2020.10.29	1.17451	1.17586	1.16499	1.16740	50814	0	0
2020.10.30	1.16741	1.17040	1.16398	1.16462	50353	0	0
2020.11.02	1.16468	1.16556	1.16221	1.16404	42757	0	0
2020.11.03	1.16406	1.17396	1.16323	1.17150	38341	0	0
2020.11.04	1.17150	1.17704	1.16019	1.17244	91397	0	0
2020.11.05	1.17244	1.18598	1.17108	1.18267	85434	0	0
2020.11.06	1.18272	1.18909	1.17954	1.18746	80267	0	0
2020.11.09	1.18873	1.19200	1.17951	1.18127	102576	0	0
2020.11.10	1.18124	1.18432	1.17798	1.18136	88041	0	0
2020.11.11	1.18138	1.18328	1.17455	1.17771	53264	0	0
2020.11.12	1.17771	1.18231	1.17586	1.18048	57097	0	0
2020.11.13	1.18047	1.18372	1.17989	1.18326	45110	0	0
2020.11.16	1.18400	1.18688	1.18141	1.18516	57741	0	0
2020.11.17	1.18509	1.18939	1.18428	1.18605	43717	0	0
2020.11.18	1.18618	1.18910	1.18491	1.18526	49423	0	0
2020.11.19	1.18526	1.18825	1.18163	1.18745	53540	0	1
2020.11.20	1.18745	1.18909	1.18497	1.18587	44971	0	0
2020.11.23	1.18496	1.19061	1.18000	1.18399	49370	0	0
2020.11.24	1.18399	1.18959	1.18358	1.18904	49664	0	0
2020.11.25	1.18905	1.19298	1.18819	1.19157	56219	0	0
2020.11.26	1.19164	1.19409	1.18853	1.19127	34494	0	0
2020.11.27	1.19125	1.19630	1.19067	1.19593	38264	0	0
2020.11.30	1.19600	1.20034	1.19236	1.19256	57731	0	0
2020.12.01	1.19261	1.20766	1.19253	1.20692	58891	0	0
2020.12.02	1.20691	1.21184	1.20400	1.21136	69133	0	0
2020.12.03	1.21137	1.21746	1.21011	1.21469	74096	0	0
2020.12.04	1.21447	1.21773	1.21100	1.21201	76974	0	0
2020.12.07	1.21299	1.21664	1.20787	1.21091	77841	0	0
2020.12.08	1.21091	1.21340	1.20956	1.21022	71978	0	0
2020.12.09	1.21022	1.21474	1.20585	1.20802	72315	0	0
2020.12.10	1.20789	1.21588	1.20738	1.21398	85474	0	0
2020.12.11	1.21361	1.21628	1.21054	1.21125	71031	0	0
2020.12.14	1.21366	1.21766	1.21156	1.21432	65850	0	0
2020.12.15	1.21432	1.21687	1.21214	1.21505	65615	0	0
2020.12.16	1.21489	1.22124	1.21249	1.21984	76468	0	0
2020.12.17	1.21985	1.22729	1.21897	1.22684	65915	0	0
2020.12.18	1.22676	1.22719	1.22256	1.22542	58548	0	0
2020.12.21	1.22166	1.22528	1.21296	1.22424	103141	0	0
2020.12.22	1.22434	1.22573	1.21520	1.21616	79150	0	0
2020.12.23	1.21618	1.22212	1.21540	1.21860	79543	0	0
2020.12.24	1.21857	1.22157	1.21774	1.21808	47758	0	0
2020.12.28	1.21696	1.22506	1.21696	1.22160	65208	0	0
2020.12.29	1.22160	1.22749	1.22070	1.22482	56037	0	0
2020.12.30	1.22471	1.23099	1.22470	1.22961	66896	0	0
2020.12.31	1.22963	1.23093	1.22127	1.22155	58559	0	0
